scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
5,18,4,QAM,Cubic polynomial,40000000,32000000,0.25,35337957.14,35298182.63,1.00113,0.883449,35336875.73,4.69411,1022
5,19,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19963067.88,5.79776,1022
5,19,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19934756.76,11.9728,1022
5,19,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35136395.83,-0.479767,1022
5,20,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20098874.93,NaN,NaN,1.00494,20099179.89,5.92965,817
5,20,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20224749.15,NaN,NaN,1.01124,20219577.65,12.59,817
5,20,3,QAM,Cubic polynomial,40000000,32000000,0.25,35266893.91,35298182.63,0.999114,0.881672,35266311.82,-0.202091,817
5,21,1,QAM,Lookup table,40000000,32000000,0.25,35828435.06,35298182.63,1.01502,0.895711,33691587.86,-4.39424,305
5,22,1,QAM,Lookup table,40000000,32000000,0.25,35059161.27,35298182.63,0.993229,0.876479,33405182.14,-4.64878,1022
5,23,1,QAM,Lookup table,40000000,32000000,0.25,35152094.88,35298182.63,0.995861,0.878802,33130168.28,-4.63886,1022
5,24,1,QAM,Lookup table,40000000,32000000,0.25,35487109.12,35298182.63,1.00535,0.887178,35085914.39,14.3803,612
5,24,2,QAM,Lookup table,40000000,32000000,0.25,35582777.21,35298182.63,1.00806,0.889569,33719123.34,13.7754,408
5,25,1,QAM,Lookup table,40000000,32000000,0.25,35219984.96,35298182.63,0.997785,0.8805,35002097.1,14.6444,1022
5,26,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20260603.81,NaN,NaN,1.01303,20260535.22,8.66907,817
5,26,2,QAM,Lookup table,40000000,32000000,0.25,35351876.7,35298182.63,1.00152,0.883797,35083929.09,15.5863,1022
5,26,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20264564.31,NaN,NaN,1.01323,20203616.71,12.0374,817
5,26,4,QAM,Cubic polynomial,40000000,32000000,0.25,35247599.68,35298182.63,0.998567,0.88119,35245816.99,-3.9744,817
5,27,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19776671.5,NaN,NaN,0.988834,19776633.01,8.25489,1022
5,27,2,QAM,Lookup table,40000000,32000000,0.25,35405072.55,35298182.63,1.00303,0.885127,35168811.95,15.415,100
5,27,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19879896.47,NaN,NaN,0.993995,19871039.72,12.0887,1022
5,27,4,QAM,Cubic polynomial,40000000,32000000,0.25,35337957.14,35298182.63,1.00113,0.883449,35335885.22,-4.0708,1022
5,28,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19962822.03,-5.57644,1022
5,28,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19955785.72,6.61205,1022
5,28,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35135211.16,-11.5421,1022
5,29,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20098874.93,NaN,NaN,1.00494,20099450.31,-5.65306,817
